2	src/plugins/serialization.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `f.ty`
2	src/resolve.rs	very complex type used. Consider factoring parts into `type` definitions
2	tests/ir_blockers.rs	consider using `sort_by_key`
3	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `class_ty`
3	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `fty_ir`
3	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `self.cur_ret_ty`
3	src/jvm/classpath.rs	this `map_or` can be simplified
3	src/jvm/inline.rs	unnecessary use of `to_string`: help: use: `d`
3	src/jvm/inline.rs	unnecessary use of `to_string`: help: use: `n`
30	src/parser.rs	this `map_or` can be simplified
4	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `object_ir`
5	src/ir_lower.rs	this `map_or` can be simplified
5	src/ir_lower.rs	this function has too many arguments (8/7)
5	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait
5	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `lo.ir.functions[fid as usize].ret`
5	src/jvm/suspend.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try dereferencing it: `*ty`
5	src/plugins/serialization.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try dereferencing it: `*ty`
5	src/resolve.rs	this `map_or` can be simplified
5	src/resolve.rs	this function has too many arguments (9/7)
6	src/jvm/ir_emit.rs	this `map_or` can be simplified
8	src/ir_lower.rs	using `clone` on type `Ty` which implements the `Copy` trait: help: try removing the `clone` call: `elem_ir`
9	src/resolve.rs	this function has too many arguments (8/7)
